lsoa11cd,lsoa11nm,population
E01011475,Leeds 094C,1606
E01011476,Leeds 094D,1195
E01011477,Leeds 045A,1989
E01011478,Leeds 056A,1844
E01011479,Leeds 056B,1614
E01011480,Leeds 045B,1682
E01011481,Leeds 056C,1905
E01011482,Leeds 056D,1720
E01011483,Leeds 056E,1674
E01011484,Leeds 033A,1543
E01011485,Leeds 033B,1587
E01011488,Leeds 045C,1422
E01011489,Leeds 045D,1742
E01011490,Leeds 099A,3357
E01011491,Leeds 101A,1443
E01011492,Leeds 101B,1532
E01011493,Leeds 101C,1595
E01011494,Leeds 101D,1470
E01011496,Leeds 100A,1413
E01011497,Leeds 101E,1662
E01011499,Leeds 105C,3227
E01011500,Leeds 105D,1498
E01011502,Leeds 099C,1355
E01011504,Leeds 032A,1493
E01011505,Leeds 025A,1584
E01011506,Leeds 025B,1388
E01011507,Leeds 025C,1537
E01011508,Leeds 024A,1351
E01011509,Leeds 023A,1345
E01011510,Leeds 025D,1574
E01011511,Leeds 023B,1372
E01011512,Leeds 023C,1693
E01011513,Leeds 031A,2155
E01011514,Leeds 025E,1619
E01011515,Leeds 023D,1416
E01011516,Leeds 023E,1590
E01011517,Leeds 024B,1756
E01011518,Leeds 093A,2116
E01011519,Leeds 095A,1429
E01011520,Leeds 096A,1449
E01011521,Leeds 096B,2060
E01011522,Leeds 095B,1344
E01011523,Leeds 096C,1802
E01011524,Leeds 093B,1157
E01011525,Leeds 095C,1573
E01011526,Leeds 093C,1254
E01011527,Leeds 096D,1711
E01011528,Leeds 095D,1512
E01011529,Leeds 096E,1320
E01011530,Leeds 106A,1297
E01011531,Leeds 093D,1597
E01011532,Leeds 095E,1664
E01011533,Leeds 104A,1252
E01011534,Leeds 106B,1882
E01011535,Leeds 108A,1677
E01011536,Leeds 108B,1573
E01011537,Leeds 107A,1989
E01011538,Leeds 107B,1572
E01011540,Leeds 102B,1628
E01011541,Leeds 104B,2006
E01011545,Leeds 104C,1329
E01011546,Leeds 106C,1581
E01011547,Leeds 104D,1848
E01011548,Leeds 106D,1504
E01011549,Leeds 108C,1399
E01011550,Leeds 106E,1294
E01011551,Leeds 107C,1561
E01011552,Leeds 107D,1474
E01011553,Leeds 108D,1399
E01011554,Leeds 012A,1446
E01011555,Leeds 018A,1290
E01011556,Leeds 015A,1669
E01011557,Leeds 015B,1458
E01011558,Leeds 018B,1712
E01011559,Leeds 018C,1368
E01011560,Leeds 018D,1908
E01011561,Leeds 006A,1128
E01011562,Leeds 012B,1504
E01011563,Leeds 012C,1391
E01011564,Leeds 012D,1461
E01011565,Leeds 015C,1369
E01011566,Leeds 015D,1199
E01011567,Leeds 012E,1416
E01011568,Leeds 015E,1871
E01011569,Leeds 004A,1650
E01011570,Leeds 007A,2195
E01011571,Leeds 004B,1567
E01011572,Leeds 004C,1674
E01011573,Leeds 004D,1331
E01011574,Leeds 004E,1415
E01011576,Leeds 007C,1388
E01011578,Leeds 011D,1193
E01011579,Leeds 014C,1252
E01011580,Leeds 014D,1347
E01011581,Leeds 003A,1478
E01011582,Leeds 003B,1645
E01011583,Leeds 003C,1501
E01011584,Leeds 003D,1519
E01011585,Leeds 062A,1331
E01011586,Leeds 066A,1836
E01011587,Leeds 062B,1617
E01011588,Leeds 039A,1708
E01011589,Leeds 039B,1542
E01011590,Leeds 039C,1580
E01011591,Leeds 052D,1557
E01011592,Leeds 039D,1508
E01011593,Leeds 039E,1943
E01011594,Leeds 062C,1416
E01011595,Leeds 066B,1898
E01011596,Leeds 062D,1585
E01011597,Leeds 066C,1606
E01011598,Leeds 062E,1463
E01011599,Leeds 066D,1502
E01011600,Leeds 079A,1445
E01011601,Leeds 079B,1619
E01011602,Leeds 076A,1960
E01011603,Leeds 076B,1690
E01011604,Leeds 079C,1286
E01011605,Leeds 076C,1578
E01011606,Leeds 076D,1698
E01011607,Leeds 079D,1508
E01011608,Leeds 068A,1423
E01011609,Leeds 068B,1404
E01011610,Leeds 068C,1426
E01011611,Leeds 068D,1409
E01011612,Leeds 079E,1354
E01011613,Leeds 076E,1777
E01011614,Leeds 068E,1832
E01011615,Leeds 070A,1418
E01011616,Leeds 072A,1593
E01011617,Leeds 070B,1546
E01011618,Leeds 070C,1649
E01011620,Leeds 072B,1302
E01011621,Leeds 070D,1508
E01011622,Leeds 072C,1706
E01011623,Leeds 075B,1671
E01011624,Leeds 072D,1969
E01011625,Leeds 075C,1566
E01011626,Leeds 075D,1958
E01011627,Leeds 098A,1416
E01011628,Leeds 098B,1179
E01011629,Leeds 098C,1247
E01011630,Leeds 100B,2061
E01011632,Leeds 098D,1390
E01011633,Leeds 098E,1484
E01011634,Leeds 100C,1572
E01011635,Leeds 097B,1713
E01011636,Leeds 100D,1753
E01011637,Leeds 097C,1736
E01011638,Leeds 097D,1399
E01011639,Leeds 100E,1486
E01011641,Leeds 032B,1523
E01011642,Leeds 032C,1368
E01011643,Leeds 037A,1449
E01011644,Leeds 037B,1311
E01011645,Leeds 032D,1502
E01011646,Leeds 037C,1725
E01011647,Leeds 037D,1821
E01011648,Leeds 037E,1761
E01011649,Leeds 022B,1475
E01011650,Leeds 020A,1437
E01011651,Leeds 020B,1510
E01011652,Leeds 024C,1430
E01011653,Leeds 020C,1400
E01011654,Leeds 024D,1402
E01011655,Leeds 020D,1405
E01011656,Leeds 035A,1449
E01011657,Leeds 035B,1320
E01011658,Leeds 040C,1484
E01011659,Leeds 035C,1361
E01011660,Leeds 040D,1496
E01011661,Leeds 035D,1578
E01011662,Leeds 040E,1267
E01011663,Leeds 050A,1685
E01011664,Leeds 050B,1085
E01011665,Leeds 050C,1283
E01011666,Leeds 061D,1432
E01011667,Leeds 050D,1505
E01011668,Leeds 110E,1779
E01011669,Leeds 110F,1696
E01011670,Leeds 055A,3370
E01011671,Leeds 055B,1635
E01011673,Leeds 064B,2215
E01011677,Leeds 064D,1800
E01011678,Leeds 063B,4743
E01011681,Leeds 063D,2278
E01011684,Leeds 019C,1546
E01011685,Leeds 109A,2342
E01011686,Leeds 033E,1545
E01011687,Leeds 109B,1527
E01011688,Leeds 031B,1576
E01011689,Leeds 031C,1442
E01011690,Leeds 109C,1333
E01011691,Leeds 031D,1523
E01011692,Leeds 109D,1401
E01011693,Leeds 109E,1585
E01011694,Leeds 109F,1700
E01011695,Leeds 019D,1629
E01011696,Leeds 006B,1512
E01011697,Leeds 002A,2300
E01011698,Leeds 001A,1442
E01011699,Leeds 001B,1288
E01011700,Leeds 002B,1371
E01011701,Leeds 001C,1263
E01011702,Leeds 001D,1388
E01011703,Leeds 001E,1191
E01011704,Leeds 002C,2046
E01011705,Leeds 002D,1312
E01011706,Leeds 006C,1481
E01011707,Leeds 005A,1259
E01011708,Leeds 006D,1461
E01011709,Leeds 005B,1772
E01011710,Leeds 005C,1387
E01011711,Leeds 005D,1371
E01011712,Leeds 005E,1321
E01011713,Leeds 006E,1918
E01011714,Leeds 029A,1682
E01011715,Leeds 022C,1266
E01011716,Leeds 029B,1528
E01011717,Leeds 029C,1325
E01011718,Leeds 029D,1849
E01011719,Leeds 022D,1400
E01011720,Leeds 029E,1417
E01011721,Leeds 041A,1460
E01011722,Leeds 041B,2106
E01011723,Leeds 041C,1547
E01011724,Leeds 041D,1939
E01011725,Leeds 078A,1643
E01011726,Leeds 080A,1483
E01011727,Leeds 080B,1587
E01011728,Leeds 080C,1333
E01011729,Leeds 078B,1665
E01011730,Leeds 078C,1537
E01011731,Leeds 081B,1430
E01011732,Leeds 081C,1903
E01011733,Leeds 081D,1357
E01011734,Leeds 083A,2571
E01011735,Leeds 078D,1642
E01011736,Leeds 083B,1409
E01011737,Leeds 083C,1600
E01011738,Leeds 083D,1424
E01011739,Leeds 080D,1482
E01032487,Leeds 097F,1041
E01032488,Leeds 097G,1763
E01032489,Leeds 102F,2015
E01032490,Leeds 102G,1411
E01032491,Leeds 102H,1224
E01032492,Leeds 102I,1986
E01032493,Leeds 033F,1309
E01032494,Leeds 033G,1760
E01032495,Leeds 105E,3180
E01032496,Leeds 105F,2161
E01032497,Leeds 099E,1615
E01032498,Leeds 099F,1561
E01032499,Leeds 067G,1662
E01032500,Leeds 067H,1331
E01032501,Leeds 017E,1094
E01032502,Leeds 017F,1812
E01032503,Leeds 007E,1440
E01032504,Leeds 007F,1573
E01032606,Leeds 067I,2014
E01032607,Leeds 067J,1265
E01032608,Leeds 067K,1129
E01032876,Leeds 109G,1732
E01032945,Leeds 044F,3402
E01032946,Leeds 110G,2830
E01033002,Leeds 055F,2202
E01033003,Leeds 055G,2083
E01033005,Leeds 055H,3964
E01033006,Leeds 063E,4447
E01033008,Leeds 111A,4234
E01033010,Leeds 111B,3930
E01033011,Leeds 111C,2083
E01033013,Leeds 082E,1652
E01033015,Leeds 111D,2073
E01033016,Leeds 111E,1277
E01033018,Leeds 112D,1625
E01033019,Leeds 112E,2052
E01033021,Leeds 075E,1769
E01033031,Leeds 064E,1647
E01033032,Leeds 082F,2015
E01033033,Leeds 075F,2151
E01033034,Leeds 075G,1693
E01033035,Leeds 064F,1713
